"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV1047";"Eukaryota";"Basidiomycota";"Ustilaginomycetes";"Violaceomycetales";"Violaceomycetaceae";"Violaceomyces"
"ASV1048";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Kurtzmaniella"
"ASV1049";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"NA";"Quaeritorhizaceae";"Quaeritorhiza"
"ASV1050";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Hypoxylaceae";"Jackrogersella"
"ASV1051";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Alloiococcus"
"ASV1052";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Lobosporangium"
"ASV1053";"Eukaryota";"Ciliophora";"Spirotrichea";"Urostylida";"Pseudourostylidae";"Pseudourostyla"
"ASV1054";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Galerina"
"ASV1055";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Irpicaceae";"Irpex"
"ASV1056";"Bacteria";"Planctomycetota";"Planctomycetia";"Isosphaerales";"Isosphaeraceae";"Paludisphaera"
"ASV1057";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Microstromatales";"NA";"Jaminaea"
"ASV1058";"Eukaryota";"NA";"Dinophyceae";"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"ASV1059";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Pseudorhizobium"
"ASV1060";"Bacteria";"Actinomycetota";"Actinomycetes";"Geodermatophilales";"Geodermatophilaceae";"Modestobacter"
"ASV1061";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Lachnospiraceae";"Lachnoclostridium"
"ASV1062";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Caulobacter"
"ASV1063";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Rhizophydiales";"Terramycetaceae";"Boothiomyces"
"ASV1064";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Pochonia"
"ASV1065";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Leuconostoc"
"ASV1066";"Eukaryota";"Ascomycota";"Xylobotryomycetes";"Xylobotryales";"Cirrosporiaceae";"Cirrosporium"
"ASV1067";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"Nitrospiraceae";"Nitrospira"
"ASV1068";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Maricaulales";"Maricaulaceae";"Maricaulis"
"ASV1069";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Physalacriaceae";"Cylindrobasidium"
"ASV1070";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Atheliales";"Atheliaceae";"Fibularhizoctonia"
"ASV1071";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Nidulariaceae";"Crucibulum"
"ASV1072";"Bacteria";"Actinomycetota";"Thermoleophilia";"Solirubrobacterales";"Conexibacteraceae";"Conexibacter"
"ASV1073";"Eukaryota";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Drechslerella"
"ASV1074";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Phaffomycetaceae";"Cyberlindnera"
"ASV1075";"Eukaryota";"Chlorophyta";"Chloropicophyceae";"Chloropicales";"Chloropicaceae";"Chloroparvula"
"ASV1076";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Alteribacter"
"ASV1077";"Eukaryota";"Basidiomycota";"Pucciniomycetes";"Pucciniales";"Coleosporiaceae";"Cronartium"
"ASV1078";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Delitschiaceae";"Delitschia"
"ASV1079";"Eukaryota";"NA";"Pelagophyceae";"Pelagomonadales";"NA";"Chrysophaeum"
"ASV1080";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Exobasidiales";"Brachybasidiaceae";"Meira"
"ASV1081";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Rhodanobacteraceae";"Dokdonella"
"ASV1082";"Eukaryota";"Blastocladiomycota";"Blastocladiomycetes";"Blastocladiales";"Blastocladiaceae";"Blastocladiella"
"ASV1083";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Volvocaceae";"Eudorina"
"ASV1084";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Hymenogastraceae";"Hebeloma"
"ASV1085";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Gloeophyllales";"Gloeophyllaceae";"Gloeophyllum"
"ASV1086";"Bacteria";"Bacillota";"Tissierellia";"Tissierellales";"Tissierellaceae";"Tissierella"
"ASV1087";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Tetrabaenaceae";"Tetrabaena"
"ASV1088";"Eukaryota";"Ascomycota";"Geoglossomycetes";"Geoglossales";"Geoglossaceae";"Trichoglossum"
"ASV1089";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Maricaulales";"Maricaulaceae";"Euryhalocaulis"
"ASV1090";"Bacteria";"Actinomycetota";"Actinomycetes";"Actinomycetales";"Actinomycetaceae";"Schaalia"
"ASV1091";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sphingomonadales";"Erythrobacteraceae";"Pontixanthobacter"
"ASV1092";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acetobacter"
"ASV1093";"Bacteria";"Thermodesulfobacteriota";"Desulfuromonadia";"Desulfuromonadales";"Desulfuromonadaceae";"Desulfuromonas"
"ASV1094";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Pseudonocardia"
"ASV1095";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Streptosporangiaceae";"Microbispora"
"ASV1096";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Mucoraceae";"Mucor"
"ASV1097";"Eukaryota";"Ascomycota";"Dothideomycetes";"NA";"Gloniaceae";"Cenococcum"
"ASV1098";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rickettsiales";"Anaplasmataceae";"Neorickettsia"
"ASV1099";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Stenotrophomonas"
"ASV1100";"Eukaryota";"Cercozoa";"NA";"Cercomonadida";"Cercomonadidae";"Cercomonas"
"ASV1101";"Eukaryota";"Chlorophyta";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadaceae";"Chloromonas"
"ASV1102";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Postiaceae";"Amylocystis"
"ASV1103";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Stappiaceae";"Pseudovibrio"
"ASV1104";"Eukaryota";"Bacillariophyta";"Bacillariophyceae";"Naviculales";"Naviculaceae";"Seminavis"
"ASV1105";"Eukaryota";"Zoopagomycota";"Entomophthoromycetes";"Entomophthorales";"Entomophthoraceae";"Massospora"
"ASV1106";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Trichomonascaceae";"Sugiyamaella"
"ASV1107";"Eukaryota";"Ascomycota";"Xylonomycetes";"Xylonales";"Xylonaceae";"Xylona"
"ASV1108";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Chytridiales";"Chytridiaceae";"Zopfochytrium"
"ASV1109";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Cypionkella"
"ASV1110";"Bacteria";"Thermodesulfobacteriota";"Thermodesulfobacteria";"Thermodesulfobacteriales";"Thermodesulfobacteriaceae";"Thermodesulfobacterium"
"ASV1111";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Lichenibacteriaceae";"Lichenibacterium"
"ASV1112";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"Hericiaceae";"Hericium"
"ASV1113";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Pseudanabaenales";"Leptolyngbyaceae";"Phormidesmis"
"ASV1114";"Eukaryota";"Blastocladiomycota";"Blastocladiomycetes";"Blastocladiales";"Catenariaceae";"Catenaria"
"ASV1115";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Bionectriaceae";"Clonostachys"
"ASV1116";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Lichtheimiaceae";"Zychaea"
"ASV1117";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Lecanicillium"
"ASV1118";"Bacteria";"Chlamydiota";"Chlamydiia";"Parachlamydiales";"Criblamydiaceae";"Criblamydia"
"ASV1119";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arthrodermataceae";"Arthroderma"
"ASV1120";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Paraglomerales";"Paraglomeraceae";"Paraglomus"
"ASV1121";"Bacteria";"Bacteroidota";"Bacteroidia";"Marinilabiliales";"Prolixibacteraceae";"Puteibacter"
"ASV1122";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Chlorogloeopsidaceae";"Chlorogloeopsis"
"ASV1123";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Mariannaea"
"ASV1124";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Chromatiales";"Chromatiaceae";"Rheinheimera"
"ASV1125";"Eukaryota";"Parabasalia";"NA";"Tritrichomonadida";"Dientamoebidae";"Histomonas"
"ASV1126";"Eukaryota";"Evosea";"Eumycetozoa";"Stemonitida";"Stemonitidae";"Stemonitopsis"
"ASV1127";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Durotheca"
"ASV1128";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Pleurocordyceps"
"ASV1129";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Nitrobacteraceae";"Rhodopseudomonas"
"ASV1130";"Bacteria";"Actinomycetota";"Actinomycetes";"Mycobacteriales";"Lawsonellaceae";"Lawsonella"
"ASV1131";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acidisphaera"
"ASV1132";"Eukaryota";"Mucoromycota";"Endogonomycetes";"Endogonales";"Endogonaceae";"Endogone"
"ASV1133";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycetaceae";"Kluyveromyces"
"ASV1134";"Eukaryota";"Ascomycota";"Sordariomycetes";"Togniniales";"Togniniaceae";"Phaeoacremonium"
"ASV1135";"Eukaryota";"Ciliophora";"Spirotrichea";"Sporadotrichida";"Oxytrichidae";"Sterkiella"
"ASV1136";"Eukaryota";"Ascomycota";"Sordariomycetes";"Sordariales";"NA";"Madurella"
"ASV1137";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Belnapia"
"ASV1138";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Microbacteriaceae";"Microterricola"
"ASV1139";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mytilinidiales";"Mytilinidiaceae";"Mytilinidion"
"ASV1140";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Oceanicella"
"ASV1141";"Bacteria";"Planctomycetota";"Planctomycetia";"Isosphaerales";"Isosphaeraceae";"Tautonia"
"ASV1142";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Pilatotrama"
"ASV1143";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Chromatiales";"Chromatiaceae";"Thiodictyon"
"ASV1144";"Bacteria";"Fusobacteriota";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"Cetobacterium"
"ASV1145";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Flagelloscypha"
"ASV1146";"Eukaryota";"Rhodophyta";"Florideophyceae";"Nemaliales";"Liagoraceae";"Yamadaella"
"ASV1147";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella"
"ASV1148";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Panaceae";"Panus"
"ASV1149";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Boletaceae";"Boletus"
"ASV1150";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Beauveria"
"ASV1151";"Eukaryota";"Euglenozoa";"Kinetoplastea";"Trypanosomatida";"Trypanosomatidae";"Phytomonas"
"ASV1152";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Clavicipitaceae";"Aschersonia"
"ASV1153";"Eukaryota";"Fornicata";"NA";"NA";"NA";"Carpediemonas"
"ASV1154";"Eukaryota";"Ascomycota";"Dothideomycetes";"Trypetheliales";"Trypetheliaceae";"Bathelium"
"ASV1155";"Eukaryota";"Chytridiomycota";"Chytridiomycetes";"Caulochytriales";"Caulochytriaceae";"Caulochytrium"
"ASV1156";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"NA";"Diutina"
"ASV1157";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Salinivirgaceae";"Salinivirga"
"ASV1158";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Steccherinaceae";"Metuloidea"
"ASV1159";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Verrucomicrobiaceae";"Luteolibacter"
"ASV1160";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Jaapiales";"Jaapiaceae";"Jaapia"
"ASV1161";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Oocystaceae";"Pseudococcomyxa"
"ASV1162";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Pluteaceae";"Volvariella"
"ASV1163";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Hypoxylaceae";"Hypomontagnella"
"ASV1164";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Camillea"
"ASV1165";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Sporolactobacillaceae";"Sporolactobacillus"
"ASV1166";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycetaceae";"Zygosaccharomyces"
"ASV1167";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Hygrophoropsidaceae";"Hygrophoropsis"
"ASV1168";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Dissophora"
"ASV1169";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Cunninghamellaceae";"Halteromyces"
"ASV1170";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Albimonas"
"ASV1171";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Sanghuangporus"
"ASV1172";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Lenzites"
"ASV1173";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Streptosporangiaceae";"Nonomuraea"
"ASV1174";"Eukaryota";"Basidiomycota";"Exobasidiomycetes";"Microstromatales";"NA";"Sympodiomycopsis"
"ASV1175";"Eukaryota";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliaceae";"Dactylella"
"ASV1176";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Spathaspora"
"ASV1177";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Cellvibrionales";"Cellvibrionaceae";"Cellvibrio"
"ASV1178";"Bacteria";"Spirochaetota";"Spirochaetia";"Spirochaetales";"Treponemataceae";"Treponema"
"ASV1179";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Eubacteriaceae";"Eubacterium"
"ASV1180";"Bacteria";"Mycoplasmatota";"Mollicutes";"Entomoplasmatales";"Spiroplasmataceae";"Spiroplasma"
"ASV1181";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Sinorhizobium"
"ASV1182";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Nitrosomonadales";"Nitrosomonadaceae";"Nitrosospira"
"ASV1183";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Gloeophyllales";"Gloeophyllaceae";"Neolentinus"
"ASV1184";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Dermacoccaceae";"Demetria"
"ASV1185";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Gomphales";"Gomphaceae";"Ramaria"
"ASV1186";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Geastrales";"Sphaerobolaceae";"Sphaerobolus"
"ASV1187";"Eukaryota";"NA";"NA";"Sticholonchida";"Sticholonchidae";"Sticholonche"
"ASV1188";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Stephanosporaceae";"Cristinia"
"ASV1189";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Nevskiales";"Steroidobacteraceae";"Steroidobacter"
"ASV1190";"Bacteria";"Acidobacteriota";"Terriglobia";"Terriglobales";"Acidobacteriaceae";"Granulicella"
"ASV1191";"Bacteria";"Acidobacteriota";"Terriglobia";"Terriglobales";"Acidobacteriaceae";"Occallatibacter"
"ASV1192";"Eukaryota";"NA";"Choanoflagellata";"Craspedida";"Salpingoecidae";"Codosiga"
"ASV1193";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Podoscyphaceae";"Abortiporus"
"ASV1194";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Cellvibrionales";"Porticoccaceae";"Porticoccus"
"ASV1195";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sneathiellales";"Sneathiellaceae";"Sneathiella"
"ASV1196";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Atheliales";"Atheliaceae";"Athelia"
"ASV1197";"Eukaryota";"Rhodophyta";"Compsopogonophyceae";"Erythropeltidales";"Erythrotrichiaceae";"Erythrotrichia"
"ASV1198";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Acidocella"
"ASV1199";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Coleofasciculaceae";"Geitlerinema"
"ASV1200";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"NA";"Emydomyces"
"ASV1201";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pseudomonadales";"Marinobacteraceae";"Marinobacter"
"ASV1202";"Eukaryota";"NA";"Dinophyceae";"Gonyaulacales";"Pyrocystaceae";"Alexandrium"
"ASV1203";"Eukaryota";"Microsporidia";"NA";"NA";"Unikaryonidae";"Encephalitozoon"
"ASV1204";"Eukaryota";"Zoopagomycota";"Kickxellomycetes";"Kickxellales";"Kickxellaceae";"Martensiomyces"
"ASV1205";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Paraflavitalea"
"ASV1206";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Zongyanglinia"
"ASV1207";"Bacteria";"Planctomycetota";"Planctomycetia";"Planctomycetales";"Planctomycetaceae";"Rubinisphaera"
"ASV1208";"Eukaryota";"NA";"Dinophyceae";"Suessiales";"Symbiodiniaceae";"Cladocopium"
"ASV1209";"Eukaryota";"Ciliophora";"Phyllopharyngea";"Chlamydodontida";"Chilodonellidae";"Chilodonella"
"ASV1210";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Carnobacteriaceae";"Jeotgalibaca"
"ASV1211";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sphingomonadales";"Zymomonadaceae";"Zymomonas"
"ASV1212";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Oceanospirillales";"Zooshikellaceae";"Zooshikella"
"ASV1213";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Chitinophaga"
"ASV1214";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Taibaiella"
"ASV1215";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Calotrichaceae";"Calothrix"
"ASV1216";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Watanabeales";"NA";"Chloroidium"
"ASV1217";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Rhodocyclales";"Zoogloeaceae";"Thauera"
"ASV1218";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Tricharina"
"ASV1219";"Bacteria";"Thermodesulfobacteriota";"Desulfuromonadia";"Geobacterales";"Geobacteraceae";"Geobacter"
"ASV1220";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Lipomycetaceae";"Lipomyces"
"ASV1221";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Mucoraceae";"Parasitella"
"ASV1222";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Cyclobacteriaceae";"Echinicola"
"ASV1223";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Cellvibrionales";"Cellvibrionaceae";"Gilvimarinus"
"ASV1224";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Teloschistales";"Teloschistaceae";"Usnochroma"
"ASV1225";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Permianibacter"
"ASV1226";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Aliiroseovarius"
"ASV1227";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"NA";"Paraliomyxa"
"ASV1228";"Eukaryota";"Discosea";"NA";"Longamoebia";"Thecamoebida";"Thecamoeba"
"ASV1229";"Bacteria";"Spirochaetota";"Spirochaetia";"Leptospirales";"Leptospiraceae";"Leptospira"
"ASV1230";"Eukaryota";"Rhodophyta";"Florideophyceae";"Gigartinales";"Gigartinaceae";"Chondrus"
"ASV1231";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";"Pyxidicoccus"
"ASV1232";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Phellinidium"
"ASV1233";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia"
"ASV1234";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Thermoflavifilum"
"ASV1235";"Eukaryota";"Microsporidia";"NA";"NA";"Amphiacanthidae";"Amphiamblys"
"ASV1236";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Metschnikowiaceae";"Candida/Metschnikowiaceae"
"ASV1237";"Eukaryota";"Microsporidia";"NA";"NA";"NA";"Pancytospora"
"ASV1238";"Bacteria";"Planctomycetota";"Planctomycetia";"Pirellulales";"Pirellulaceae";"Rhodopirellula"
"ASV1239";"Eukaryota";"Euglenozoa";"Kinetoplastea";"Trypanosomatida";"Trypanosomatidae";"Porcisia"
"ASV1240";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Treboniaceae";"Trebonia"
"ASV1241";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Ceratocystidaceae";"Ambrosiella"
"ASV1242";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingopyxis"
"ASV1243";"Eukaryota";"Basidiomycota";"Pucciniomycetes";"Pucciniales";"Phakopsoraceae";"Phakopsora"
"ASV1244";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Rhodospirillaceae";"Hwanghaeella"
"ASV1245";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Yersiniaceae";"Rahnella"
"ASV1246";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Croceitalea"
"ASV1247";"Eukaryota";"Basidiomycota";"Ustilaginomycetes";"Ustilaginales";"Ustilaginaceae";"Kalmanozyma"
"ASV1248";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Erwiniaceae";"Pantoea"
"ASV1249";"Eukaryota";"NA";"Cryptophyceae";"Pyrenomonadales";"Pyrenomonadaceae";"Storeatula"
"ASV1250";"Eukaryota";"Ascomycota";"Geoglossomycetes";"Geoglossales";"Geoglossaceae";"Geoglossum"
"ASV1251";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Roseobacteraceae";"Thalassobacter"
"ASV1252";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Alicyclobacillaceae";"Alicyclobacillus"
"ASV1253";"Eukaryota";"Ascomycota";"Dothideomycetes";"Mytilinidiales";"Argynnaceae";"Lepidopterella"
"ASV1254";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Auriculariales";"Hyaloriaceae";"Protomerulius"
"ASV1255";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Sphingomonadales";"Sphingosinicellaceae";"Sandarakinorhabdus"
"ASV1256";"Archaea";"Candidatus Thermoplasmatota";"NA";"NA";"NA";"Aciduliprofundum"
"ASV1257";"Eukaryota";"Mucoromycota";"Glomeromycetes";"Glomerales";"Claroideoglomeraceae";"Claroideoglomus"
"ASV1258";"Eukaryota";"Evosea";"Eumycetozoa";"NA";"Ceratiomyxaceae";"Ceratiomyxa"
"ASV1259";"Bacteria";"Thermodesulfobacteriota";"Desulfovibrionia";"Desulfovibrionales";"Desulfovibrionaceae";"Solidesulfovibrio"
"ASV1260";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Onygenaceae";"Uncinocarpus"
"ASV1261";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Luteimonas"
"ASV1262";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Phreatobacteraceae";"Phreatobacter"
"ASV1263";"Eukaryota";"Apicomplexa";"Aconoidasida";"Nephromycida";"NA";"Nephromyces"
"ASV1264";"Eukaryota";"Basidiomycota";"Dacrymycetes";"Dacrymycetales";"Dacrymycetaceae";"Guepiniopsis"
"ASV1265";"Bacteria";"Balneolota";"Balneolia";"Balneolales";"Balneolaceae";"Aliifodinibius"
"ASV1266";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Microscillaceae";"Microscilla"
"ASV1267";"Eukaryota";"Chytridiomycota";"Neocallimastigomycetes";"Neocallimastigales";"Neocallimastigaceae";"Piromyces"
"ASV1268";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Marinosulfonomonas"
"ASV1269";"Eukaryota";"Zoopagomycota";"Kickxellomycetes";"Kickxellales";"Kickxellaceae";"Spiromyces"
"ASV1270";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Pluteaceae";"Pluteus"
